site YYMMMDD yyyy_yyyy x__MJD week d reflon x_e0_m_ x__east_m_ x____n0_m_ x_north_m_ u0_m_ x____up_m_ x_ant_m_ sig_e_m_ sig_n_m_ sig_u_m_ x__corr_en x__corr_eu x__corr_nu
BRD1 16MAY29 2016.4079 57537 1899 1 -119.0 -239 -0.617750 4408352 0.301745 1247 0.402020 0.0083 0.000903 0.001168 0.003284 -0.247768 0.087242 -0.167083
BRD1 16MAY30 2016.4107 57538 1899 2 -119.0 -239 -0.618715 4408352 0.302194 1247 0.399324 0.0083 0.000920 0.001159 0.003328 -0.226892 0.082096 -0.167335
BRD1 16MAY31 2016.4134 57539 1899 3 -119.0 -239 -0.619134 4408352 0.300166 1247 0.401391 0.0083 0.000911 0.001156 0.003273 -0.244262 0.106473 -0.195443
BRD1 16JUN01 2016.4162 57540 1899 4 -119.0 -239 -0.617528 4408352 0.300676 1247 0.396085 0.0083 0.000926 0.001166 0.003289 -0.265920 0.088574 -0.201167
BRD1 16JUN02 2016.4189 57541 1899 5 -119.0 -239 -0.621343 4408352 0.301757 1247 0.393828 0.0083 0.000938 0.001174 0.003357 -0.265300 0.038645 -0.160392
BRD1 16JUN03 2016.4216 57542 1899 6 -119.0 -239 -0.618666 4408352 0.303889 1247 0.398644 0.0083 0.000921 0.001186 0.003419 -0.235316 0.040556 -0.198459
BRD1 16JUN04 2016.4244 57543 1899 7 -119.0 -239 -0.617306 4408352 0.300087 1247 0.396792 0.0083 0.000911 0.001167 0.003298 -0.244111 0.087013 -0.186161
BRD1 16JUN05 2016.4271 57544 1900 1 -119.0 -239 -0.621173 4408352 0.301516 1247 0.390870 0.0083 0.000922 0.001175 0.003313 -0.263604 0.076206 -0.165994
BRD1 16JUN06 2016.4298 57545 1900 2 -119.0 -239 -0.618915 4408352 0.304345 1247 0.409462 0.0083 0.000926 0.001174 0.003373 -0.234355 0.061757 -0.228266
BRD1 16JUN07 2016.4326 57546 1900 3 -119.0 -239 -0.616326 4408352 0.299699 1247 0.408591 0.0083 0.000935 0.001165 0.003353 -0.238831 0.061141 -0.180234
BRD1 16JUN08 2016.4353 57547 1900 4 -119.0 -239 -0.619818 4408352 0.301367 1247 0.395730 0.0083 0.000902 0.001180 0.003349 -0.241970 0.083950 -0.197411
BRD1 16JUN09 2016.4381 57548 1900 5 -119.0 -239 -0.617658 4408352 0.302465 1247 0.394449 0.0083 0.000922 0.001170 0.003317 -0.256600 0.081543 -0.187100
BRD1 16JUN10 2016.4408 57549 1900 6 -119.0 -239 -0.618908 4408352 0.298371 1247 0.398280 0.0083 0.000943 0.001184 0.003347 -0.261690 0.066775 -0.159892
BRD1 16JUN11 2016.4435 57550 1900 7 -119.0 -239 -0.623377 4408352 0.303490 1247 0.389394 0.0083 0.000914 0.001151 0.003271 -0.247717 0.094249 -0.209737
BRD1 16JUN12 2016.4463 57551 1901 1 -119.0 -239 -0.620421 4408352 0.299828 1247 0.403384 0.0083 0.000908 0.001147 0.003284 -0.236418 0.080102 -0.223487
BRD1 16JUN13 2016.4490 57552 1901 2 -119.0 -239 -0.621029 4408352 0.302745 1247 0.389719 0.0083 0.000914 0.001190 0.003476 -0.231109 0.070896 -0.161808
BRD1 16JUN14 2016.4517 57553 1901 3 -119.0 -239 -0.620386 4408352 0.297494 1247 0.400189 0.0083 0.000918 0.001150 0.003310 -0.232584 0.060839 -0.203142
BRD1 16JUN15 2016.4545 57554 1901 4 -119.0 -239 -0.620762 4408352 0.298998 1247 0.407851 0.0083 0.000924 0.001174 0.003364 -0.252153 0.064929 -0.194554
BRD1 16JUN16 2016.4572 57555 1901 5 -119.0 -239 -0.621869 4408352 0.302572 1247 0.381797 0.0083 0.000931 0.001169 0.003333 -0.237999 0.065462 -0.174759
BRD1 16JUN17 2016.4600 57556 1901 6 -119.0 -239 -0.619499 4408352 0.300696 1247 0.397492 0.0083 0.000900 0.001147 0.003274 -0.241690 0.093380 -0.215551
BRD1 16JUN18 2016.4627 57557 1901 7 -119.0 -239 -0.622601 4408352 0.304233 1247 0.398624 0.0083 0.000941 0.001151 0.003358 -0.253742 0.065734 -0.180500
BRD1 16JUN19 2016.4654 57558 1902 1 -119.0 -239 -0.621776 4408352 0.301263 1247 0.387613 0.0083 0.000917 0.001167 0.003330 -0.252102 0.074073 -0.187967
BRD1 16JUN20 2016.4682 57559 1902 2 -119.0 -239 -0.618661 4408352 0.301117 1247 0.388540 0.0083 0.000924 0.001192 0.003460 -0.248251 0.049582 -0.165414
BRD1 16JUN21 2016.4709 57560 1902 3 -119.0 -239 -0.622592 4408352 0.301495 1247 0.387338 0.0083 0.000925 0.001168 0.003359 -0.238505 0.055503 -0.171981
